"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"cots_camera:Autofocus:2                      cots_camera:af_area_initial_y_position:1    ","Attribute","af_area_initial_y_position","n/a","cots_camera","Specifies the Y (vertical) coordinate of the starting point of the dynamic autofocus area.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_area_mode:1                  ","Attribute","af_area_mode","n/a","cots_camera","Refers to the autofocus mode selected for focusing. Includes Single Point, Dynamic Area, and/or Auto Area AF. Mode availability depends on the capabilities of a specific camera model.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_area_height:1                ","Attribute","af_area_height","n/a","cots_camera","Specifies the height of the autofocus box when the picture was taken","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_area_width:1                 ","Attribute","af_area_width","n/a","cots_camera","Specifies the width of the autofocus box when the picture was taken","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_area_x_position:1            ","Attribute","af_area_x_position","n/a","cots_camera","Specifies the X (horizontal) coordinate of the dynamic autofocus area.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_area_y_position:1            ","Attribute","af_area_y_position","n/a","cots_camera","Specifies the Y (vertical) coordinate of the dynamic autofocus area.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_c_priority_selection:1       ","Attribute","af_c_priority_selection","n/a","cots_camera","Indicates whether the camera will prioritize achieving focus or shot capture while in continuous autofocus mode and if the subject cannot be quickly locked on. Focus Priority will only capture a photograph once the subject has been properly focused. Release Priority will take a shot regardless of whether or not focus has been achieved.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_coordinates_available:1      ","Attribute","af_coordinates_available","n/a","cots_camera","Indicates whether or not autofocus coordinates are available.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_detection_method:1           ","Attribute","af_detection_method","n/a","cots_camera","Refers to the method the autofocus system uses to detect focus. This can include methods such as Contrast Detection or Phase Detection, depending on the capabilities of the camera model.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_fine_tune:1                  ","Attribute","af_fine_tune","n/a","cots_camera","Details, typically expressed in micro-adjustments (e.g., +5 or -10), on any calibration made to the autofocus system to improve accuracy.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_image_height:1               ","Attribute","af_image_height","n/a","cots_camera","Height of the image sensor, used in autofocus calculations","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_image_width:1                ","Attribute","af_image_width","n/a","cots_camera","Width of the image sensor, used in autofocus calculations","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:af_info_2_version:1             ","Attribute","af_info_2_version","n/a","cots_camera","Indicates the version number of the camera's autofocus information.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_point_brightness:1           ","Attribute","af_point_brightness","n/a","cots_camera","Refers to the intensity of the indicator that shows which focus point(s) are selected.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_points_in_focus:1            ","Attribute","af_points_in_focus","n/a","cots_camera","Indicates how many of the selected autofocus points achieved focus on the subject.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_points_used:1                ","Attribute","af_points_used","n/a","cots_camera","Indicates how many autofocus points where actively engaged during the shot.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_s_priority_selection:1       ","Attribute","af_s_priority_selection","n/a","cots_camera","Indicates whether the camera prioritizes on achieving a sharp focus before allowing the shutter to release in single autofocus mode. Focus Priority will only release the shutter once it has achieved focus on the subject. Release Priority will allow the shutter to be released even if focus has not been achieved.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:block_shot_af_response:1        ","Attribute","block_shot_af_response","n/a","cots_camera","Describes the camera's autofocus behaviour when shooting in burst mode. This indicates whether focus is locked for the entire burst or adjusted between shots.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_point_schema:1            ","Attribute","focus_point_schema","n/a","cots_camera","Describes the arragements or pattern of selected autofocus points.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_point_wrap:1              ","Attribute","focus_point_wrap","n/a","cots_camera","Indicates whether focus points wrap around when reaching the edge of the selection grid. Typically On or Off.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_result:1                  ","Attribute","focus_result","n/a","cots_camera","Indicates whether autofocus thinks the image is in focus or not","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_shift_shooting:1          ","Attribute","focus_shift_shooting","n/a","cots_camera","Automates focus stacking by capturing a sequence of images at incrementally changing focus distances","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:number_of_focus_points:1        ","Attribute","number_of_focus_points","n/a","cots_camera","Indicates how many autofocus points are available to the camera.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"cots_camera:Autofocus:2                      cots_camera:primary_af_point:1              ","Attribute","primary_af_point","n/a","cots_camera","Specifies which autofocus point was primary when autofocusing. Typically expressed as an X, Y coordinate or numerical identifier of the autofocus point in use.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Camera_Properties:1             ","Class","Camera_Properties","1.0","cots_camera","The Camera_Properties contains parameters describing various physical properties of the camera","img","","","","","","","","","","",""
